name,website,type,map-layer,for-sale,wholesale,csa,free,garden-space,garden-supply,farming-education,advocacy,farming-research,inprogress,adopted,education,mapping,research,policy,fundraising,affordability,food-culture,coll-dist,leadership,math-science-humanities,entrepreneur,job,economic,community,groups,tag
Food Finders,http://www.foodfinders.org/,Non-Profit Organization,N,,,,,,,,x,,,,,,,,,,,,,,,,,,,Free food
"Food Finders, Food Pantries",http://www.foodfinders.org/wp-content/uploads/2016/05/WEBlistDec2015.pdf,Non-Profit Organization,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,,"Food culture,Food waste collection/distribution"
Food Forward,https://foodforward.org/,Non-Profit Organization,?,,,,,,,,,,,,x,,,,,,x,x,,,,,,,,
"Hildemar Cruz, ""A Geospatial Analysis of Income Level, Food Deserts and
Urban Agriculture Hot Spots""",http://spatial.usc.edu/wp-content/uploads/2016/03/Cruz-Hildemar.pdf,Research Paper,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunger Action LA,http://www.hungeractionla.org/,Non-Profit Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garden supply
Juice Plus+ Tower Gardens,http://ds92016.towergarden.com/,For-Profit,N,,,,,,x,,,,,,,,,,,,,,,,,,,,,Farming education
LA Green Grounds,http://www.lagreengrounds.org/,Community Based Organization,Y,,,,,,,x,,,,,,,,,,,,,,,,,,,,"Fundraising for food equity advocacy,Food culture"
"Leadership for Urban Renewal Networ, The Semi’a Fund",http://lurnetwork.org/work/capital/,Non-Profit Organization,N,,,,,,,,,,,,,,,,x,,x,,,,,,,,,Garden supply
Local Roots Farms,http://www.localrootsfarms.com/,For-Profit,N,,,,,,x,,,,,,,,,,,,,,,,,,,,,"Food affordability,Job development,Community development"
Locol,http://www.welocol.com/,For-Profit,Y,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,"Food equity policy,Job development"
"Los Angeles Alliance for a New Economy, Shop Well LA",http://www.laane.org/what-we-do/projects/shopwellla/,Non-Profit Organization,N,,,,,,,,,,,,,,,x,,,,,,,,x,,,,"Free food,Farming education,Food equity policy"
"Los Angeles Community Action Network, Community Health",http://cangress.org/our-work/community-health/,Non-Profit Organization,?,,,,x,,,x,,,,,x,,,x,,,,,,,,,,,,"Food for sale,Food affordability,Food culture"
"Los Angeles Community Action Network, South LA Pop-Up Product Market",http://cangress.org/our-work/la-can-south-la-pop-up-market/,Non-Profit Organization,Y,x,,,,,,,,,,,x,,,,,x,x,,,,,,,,,"Garden space,Farming education"
Los Angeles Community Garden Council,http://lagardencouncil.org/,Non-Profit Organization,Y,,,,,x,,x,,,,,,,,,,,,,,,,,,,,
"Los Angeles County Department of Social Services, CalFresh",http://www.dss.cahwnet.gov/foodstamps/,Subsidy,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles County Health Department,http://publichealth.lacounty.gov/,Governmental Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Food equity research,Food equity policy,Food culture,Leadership skills,Economic development"
Los Angeles Food Policy Council,http://goodfoodla.org/,Non-Profit Organization,,,,,,,,,,,,,x,,x,x,,,x,,x,,,,x,,,"In progress legislation,Adopted legislation,Food equity policy,Food affordability"
"Los Angeles Food Policy Council, Farmer' Markets for All Working Group",http://goodfoodla.org/policymaking/working-groups-2/farmers-markets-for-all/,Non-Profit Organization,N,,,,,,,,,,x,x,,,,x,,x,,,,,,,,,,"Food waste advocacy,Food equity policy,Food affordability"
"Los Angeles Food Policy Council, Food Resource Recovery Working Group",http://goodfoodla.org/policymaking/working-groups-2/food-resource-recovery-working-group/,Non-Profit Organization,?,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,"Food equity research,Food equity policy,Food culture"
"Los Angeles Food Policy Council, Healthy Food Retail + Food Equity Working Group",http://goodfoodla.org/policymaking/working-groups-2/healthy-food-retail/,Non-Profit Organization,Y,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,"Food equity research,Food equity policy,Food affordability"
"Los Angeles Food Policy Council, Street Food Working Group",http://goodfoodla.org/policymaking/working-groups-2/street-food/,Non-Profit Organization,?,,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,"Food equity research,Food equity policy"
"Los Angeles Food Policy Council, Sustainable Seafood Working Group",http://goodfoodla.org/policymaking/working-groups-2/sustainable-seafood/,Non-Profit Organization,Y,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,"Farming/Gardening research,In progress legislation,Food equity research,Food equity policy"
"Los Angeles Food Policy Council, Urban Agriculture Working Group",http://goodfoodla.org/policymaking/working-groups-2/urban-agriculture/,Non-Profit Organization,?,,,,,,,,,x,x,,,,x,x,,,,,,,,,,,,"Garden space,Farming education,Leadership skills,Job development"
Los Angeles Neighborhood Land Trust,http://www.lanlt.org/,Non-Profit Organization,Y,,,,,x,,x,,,,,,,,,,,,,x,,,x,,,,"Food equity policy,Fundraising for food equity advocacy"
Los Angeles Regional Food Bank,https://www.lafoodbank.org/,Non-Profit Organization,Y,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,Free food
"Los Angeles Regional Food Bank, Mobile Food Pantry",https://www.lafoodbank.org/get-help/programs-services/food-distribution/,Non-Profit Organization,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,,Free food
"Los Angeles Regional Food Bank, Partner Agencies",https://www.lafoodbank.org/get-help/pantry-locator/,Non-Profit Organization,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,,Free food
"Los Angeles Regional Food Bank, Rapid Food Distribution",https://www.lafoodbank.org/get-help/programs-services/food-distribution/,Non-Profit Organization,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,,Garden space
"Meet Each Need with Dignity, Grow Together Project",http://mendpoverty.org/programs/home-garden-program,Non-Profit Organization,Y,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Metabolic Studio,http://www.metabolicstudio.org/,Community Based Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garden space
Proyecto Jardin,http://www.proyectojardin.org/#welcome,Community Based Organization,?,,,,,x,,,,,,,,,,,,,,,,,,,,,,Food equity mapping
"Ride South LA, Healthy Food Map",http://ridesouthla.com/food-map/,Community Based Organization,N,,,,,,,,,,,,,x,,,,,,,,,,,,,,"Free food,Garden space,Farming education"
Ron Finley Project,http://ronfinley.com/,Community Activist,?,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,Garden supply
Seed Library of Los Angeles,http://slola.org/,Non-Profit Organization,Y,,,,,,x,,,,,,,,,,,,,,,,,,,,,Garden supply
Seeds of Change,https://www.seedsofchange.com/Home.aspx,For-Profit,N,,,,,,x,,,,,,,,,,,,,,,,,,,,,Food equity research
Social Justice Learning Institute,http://www.sjli.org/program/health-equity,Non-Profit Organization,?,,,,,,,,,,,,,,x,,,,,,,,,,,,,"Food equity research,Food equity policy"
"Social Justice Learning Institute, Community Supported Agriculture",http://www.sjli.org/program/health-equity/hsic,Non-Profit Organization,Y,,,,,,,,,,,,,,x,x,,,,,,,,,,,,"Food for sale,Community garden"
"Social Justice Learning Institute, Healthy and Sustainable Inglewood Collaborative",http://www.sjli.org/program/health-equity/community-supported-agriculture,Non-Profit Organization,Y,x,,x,,,,,,,,,,,,,,,,,,,,,,,,Food culture
"Social Justice Learning Institute, Healthy Lifestyle Education",http://www.sjli.org/program/health-equity/healthy-lifestyle-education,Non-Profit Organization,N,,,,,,,,,,,,x,,,,,,x,,,,,,,,,
"Social Justice Learning Institute, Research",http://sjli.org/sites/default/files/PG_and_SJLI_Final_Paper.pdf#overlay-context=program/health-equity/research-and-resources,Research Paper,N,,,,,,,,,,,,,,,,,,,,,,,,,,,"Food for sale,Community garden"
South Central Farmers Cooperative,http://www.scfcoop.southcentralfarmers.com/,Non-Profit Organization,Y,x,,x,,,,,,,,,,,,,,,,,,,,,,,,Food for sale
"Sustainable Economic Enterprises of Los Angeles, Farmer's Markets",http://www.seela.org/,Non-Profit Organization,Y,x,,,,,,,,,,,,,,,,,,,,,,,,,,Food culture
"Sustainable Economic Enterprises of Los Angeles, Pompea Smith Good Cooking/ Buena Cocina Nutrition Education Program",http://www.seela.org/programs/pompea-smith-good-cooking-buena-cocina-nutrition-education-program/,Non-Profit Organization,Y,,,,,,,,,,,,x,,,,,,x,,,,,,,,,Food equity policy
"The California Endowment, Neighborhoods Initiative",http://www.calendow.org/neighborhoods/,Non-Profit Organization,?,,,,,,,,,,,,,,,x,,,,,,,,,,,,"Garden space,Adopted legislation"
The Urban Agriculture Incentive Zones Act (AB551),http://ucanr.edu/sites/UrbanAg/Laws_Zoning_and_Regulations/The_Urban_Agriculture_Incentive_Zones_Act_AB551/,Legislation,Y,,,,,x,,,,,,x,,,,,,,,,,,,,,,,"Food for sale,Food affordability,Food culture"
Thrive Market,https://thrivemarket.com/,For-Profit,N,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,Fundraising for food equity advocacy
"U. S. Department of Housing and Urban Development, Community Development Block Grant Program",http://portal.hud.gov/hudportal/HUD?src=/program_offices/comm_planning/communitydevelopment/programs,Government Agency,,,,,,,,,,,,,,,,,x,,,,,,,,,,,"Farming/Gardening research,Food equity mapping,Food equity research,Economic development"
"UCLA and UC Cooperative Extension LA, Cultivate LA",https://cultivatelosangeles.org/,Educational Institution,N,,,,,,,,,x,,,x,x,x,,,,,,,,,,x,,,Farming education
"University of California Cooperative Extension, Master Gardener Program",http://celosangeles.ucanr.edu/UC_Master_Gardener_Program/,Educational Institution,Y,,,,,,,x,,,,,,,,,,,,,,,,,,,,"Farming/Gardening research,Leadership skills"
"University of California Davis, Agricultural Sustainability Institute",http://asi.ucdavis.edu/,Educational Institution,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,"Farming education,Farming/Gardening research"
"University of California Davis, Russell Ranch Sustainable Agriculture Facility",http://asi.ucdavis.edu/programs/rr/,Educational Institution,?,,,,,,,x,,x,,,,,,,,,,,,,,,,,,Free food
Westside Food Bank,http://www.westsidefoodbankca.org/,Non-Profit Organization,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,,"Food equity research,Food equity policy,Food culture"
