UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Rite Aid,5670 E 2nd St,Long Beach,CA,90803,33.756813,-118.12311
,Rite Aid,3300 E Anaheim St,Long Beach,CA,90804,33.782574,-118.15339
,Rite Aid,4402 Atlantic Ave,Long Beach,CA,90807,33.83762,-118.18469
,Rite Aid,6400 E Spring St,Long Beach,CA,90815,33.810394,-118.10641
,Rite Aid,5545 E Stearns St,Long Beach,CA,90815,33.796127,-118.12367
,Rite Aid,1890 Ximeno Ave,Long Beach,CA,90815,33.790581,-118.13881
,Rite Aid,5128 E 2nd St,Long Beach,CA,90803,33.760406,-118.13537
,Rite Aid,3860 Sepulveda Blvd,Torrance,CA,90505,33.825657,-118.3532
,Rite Aid,211 Cherry Ave,Long Beach,CA,90802,33.766968,-118.16798
,Rite Aid,300 E Willow St,Long Beach,CA,90806,33.804314,-118.18854
,Rite Aid,1207 Pacific Coast Hwy,Harbor City,CA,90710,33.789787,-118.29802
,Rite Aid,226 N Larchmont Blvd,Los Angeles,CA,90004,34.07547,-118.3236
,Rite Aid,334 S Vermont Ave,Los Angeles,CA,90020,34.068447,-118.29159
,Rite Aid,1815 S Vermont Ave,Los Angeles,CA,90006,34.0411,-118.29164
,Rite Aid,1001 S Glendon Ave,Los Angeles,CA,90024,34.062504,-118.44408
,Rite Aid,1637 N Vermont Ave,Los Angeles,CA,90027,34.100727,-118.29183
,Rite Aid,1841 N Western Ave,Los Angeles,CA,90027,34.104252,-118.30933
,Rite Aid,6130 W Sunset Blvd,Hollywood,CA,90028,34.097958,-118.32275
,Rite Aid,4633 Santa Monica Blvd,Los Angeles,CA,90029,34.090927,-118.29033
,Rite Aid,9864 National Blvd,Los Angeles,CA,90034,34.031124,-118.40117
,Rite Aid,7900 W Sunset Blvd,Los Angeles,CA,90046,34.098022,-118.36201
,Rite Aid,1744 W 6th St,Los Angeles,CA,90017,34.057869,-118.27126
,Rite Aid,11321 National Blvd,Los Angeles,CA,90064,34.025845,-118.4323
,Rite Aid,4046 S Centinela Ave,Los Angeles,CA,90066,33.998547,-118.42958
,Rite Aid,463 N Bedford Dr,Beverly Hills,CA,90210,34.06868,-118.40588
,Rite Aid,300 N Canon Dr,Beverly Hills,CA,90210,34.069279,-118.39951
,Rite Aid,3802 Culver Ctr,Culver City,CA,90232,34.017769,-118.40771
,Rite Aid,11096 Jefferson Blvd,Culver City,CA,90230,33.996769,-118.39529
,Rite Aid,888 Lincoln Blvd,Venice,CA,90291,33.99868,-118.46221
,Rite Aid,1331 Wilshire Blvd,Santa Monica,CA,90403,34.026543,-118.48928
,Rite Aid,1808 Wilshire Blvd,Santa Monica,CA,90403,34.029987,-118.48488
,Rite Aid,2412 Pico Blvd,Santa Monica,CA,90405,34.022102,-118.46442
,Rite Aid,5575 Wilshire Blvd,Los Angeles,CA,90036,34.062366,-118.35017
,Chevron,1209 S Sunset Ave,West Covina,CA,91790,34.061024,-117.9465
,Bud Liquor Market,1298 E 4th St,Long Beach,CA,90802,33.771683,-118.17462
,YOUNGS LIQUOR,3800 W El Segundo Blvd,Hawthorne,CA,90250,33.916367,-118.33962
,Ed's Liquor,6616 Rosemead Blvd,Pico Rivera,CA,90660,33.985172,-118.09521
,7-Eleven,1201 Centinela Ave,Inglewood,CA,90302,33.976395,-118.35976
,RED'S LIQUOR #2,1201 W Century Blvd,Los Angeles,CA,90044,33.945518,-118.29625
,PLAZA LIQUOR,10530 Garvey Ave,El Monte,CA,91733,34.062691,-118.04321
,Lucky Liquor Market,1045 E South St,Long Beach,CA,90805,33.860138,-118.17991
,7 & 7 Liquor,13654 Victory Blvd,Van Nuys,CA,91401,34.186653,-118.43065
,GRAND PRIZE LIQUOR MARKET,4555 W Washington Blvd,Los Angeles,CA,90016,34.039894,-118.33899
,7-Eleven,1075 N Grand Ave,Covina,CA,91724,34.099098,-117.87273
,Vista Liquor,625 S Gaffey St,San Pedro,CA,90731,33.738251,-118.29238
,DALE'S LIQUOR,8717 Woodman Ave,Arleta,CA,91331,34.228428,-118.43494
,Walgreens,4009 Lincoln Blvd,Marina del Rey,CA,90292,33.990211,-118.44766
,Walgreens,1344 W Redondo Beach Blvd,Gardena,CA,90247,33.891457,-118.29994
,Walgreens,1800 W Slauson Ave,Los Angeles,CA,90047,33.989124,-118.30925
,Al's Liquor,10751 S Figueroa St,Los Angeles,CA,90061,33.938412,-118.28265
,Walgreens,1501 W Whittier Blvd,Montebello,CA,90640,34.011944,-118.11749
,RIVERA MARKET & LIQUOR,8320 Rosemead Blvd,Pico Rivera,CA,90660,33.964874,-118.10797
,SD LIQUOR MARKET INC,14233 Leffingwell Rd,Whittier,CA,90604,33.923218,-118.02789
,TOWNE SHOPPE LIQUORS,1201 S Garey Ave,Pomona,CA,91766,34.04858,-117.74992
,JOHN'S LIQUOR,9551 1/2 Telegraph Rd,Pico Rivera,CA,90660,33.953873,-118.09939
,JIM'S LIQUOR,630 E Mission Blvd,Pomona,CA,91766,34.055222,-117.74414
,7-Eleven,10011 Mills Ave,Whittier,CA,90604,33.942688,-118.02809
,7-Eleven,5536 E Washington Blvd,Commerce,CA,90040,34.00037,-118.1601
,Walgreens,1625 W Sunset Blvd,Los Angeles,CA,90026,34.077106,-118.25808
,7-Eleven,512 S Chapel Ave,Alhambra,CA,91801,34.091316,-118.1199
,Walgreens,7155 Van Nuys Blvd,Van Nuys,CA,91405,34.200684,-118.44878
,Walgreens,17010 Chatsworth St,Granada Hills,CA,91344,34.264744,-118.50259
,Walgreens,831 E Avenue K,Lancaster,CA,93535,34.67503,-118.11278
,Walgreens,9750 Woodman Ave,Arleta,CA,91331,34.248386,-118.44897
,Walgreens,13231 Victory Blvd,Van Nuys,CA,91401,34.186707,-118.42167
,Walgreens,20505 Sherman Way,Canoga Park,CA,91306,34.201157,-118.58017
,Walgreens,1028 S San Fernando Blvd,Burbank,CA,91502,34.174137,-118.29938
,Walgreens,18430 Sherman Way,Reseda,CA,91335,34.201054,-118.53419
,Walgreens,37160 47th St E,Palmdale,CA,93552,34.557301,-118.04529
,Walgreens,5451 W Sunset Blvd,Los Angeles,CA,90027,34.098137,-118.30843
,TY'S LIQUOR,16024 Pioneer Blvd,Norwalk,CA,90650,33.885521,-118.08239
,Rite Aid,1700 W Whittier Blvd,La Habra,CA,90631,33.939514,-117.96499
,FRIENDLY LIQUOR,1261 E Florence Ave,Los Angeles,CA,90001,33.974777,-118.25222
,JOHNNY'S LIQUOR,2615 Fair Oaks Ave,Altadena,CA,91001,34.190475,-118.14932
,TED'S LIQUOR,10145 Atlantic Ave,South Gate,CA,90280,33.939026,-118.18186
,BOTTOM UP LIQUOR,6424 S Vermont Ave,Los Angeles,CA,90044,33.980381,-118.2914
,"THE HOUSE OF SPIRITS LIQUOR, INC",1314 Echo Park Ave,Los Angeles,CA,90026,34.077278,-118.25698
,Walgreens,22930 S Western Ave,Torrance,CA,90501,33.817142,-118.30884
,PAT'S LIQUOR JR MARKET,2769 Sierra Hwy,Rosamond,CA,93560,34.861069,-118.16286
,Walgreens,7560 Topanga Canyon Blvd,Canoga Park,CA,91303,34.207836,-118.6059
,Walgreens,18515 Devonshire St,Northridge,CA,91324,34.257317,-118.53743
,Walgreens,5224 Coldwater Canyon Ave,Van Nuys,CA,91401,34.16568,-118.41376
,Walgreens,20901 Devonshire St,Chatsworth,CA,91311,34.257278,-118.58887
,Walgreens,2840 W Avenue L,Lancaster,CA,93536,34.660252,-118.18225
,FREEWAY LIQUOR,130 N Vincent Ave,West Covina,CA,91790,34.074089,-117.92631
,KWIK STOP LIQUOR 3,39553 Sierra Hwy,Palmdale,CA,93550,34.601414,-118.12128
,LIQUORLAND 7,944 N Azusa Ave,Azusa,CA,91702,34.138035,-117.90743
,Gary's Liquor,5067 Melrose Ave,Los Angeles,CA,90038,34.083549,-118.31071
,Walgreens,3339 E Anaheim St,Long Beach,CA,90804,33.782627,-118.15263
,STAN'S LIQUOR,842 W Manchester Blvd,Inglewood,CA,90301,33.961403,-118.3715
,All Star Liquor,2421 Lincoln Ave,Altadena,CA,91001,34.187321,-118.15977
,HI WAY LIQUOR,11312 Garvey Ave,El Monte,CA,91732,34.062832,-118.0299
,BOB'S FOOD MART & LIQUOR,10000 National Blvd,Los Angeles,CA,90034,34.029064,-118.40361
,7-Eleven,1200 S Garfield Ave,Alhambra,CA,91801,34.080421,-118.12301
,S & H LIQUOR,3006 W Manchester Blvd,Inglewood,CA,90305,33.959927,-118.32586
,7-Eleven,10707 Lower Azusa Rd,El Monte,CA,91731,34.09277,-118.03497
,LONG BEACH DELI AND LIQUOR,725 E 4th St,Long Beach,CA,90802,33.771748,-118.18297
,7-Eleven,3100 Beverly Blvd,Los Angeles,CA,90057,34.071957,-118.2826
,7-Eleven,1325 N Grand Ave,Walnut,CA,91789,34.046047,-117.84941
,CVS,915 E Arrow Hwy,Azusa,CA,91702,34.106861,-117.89218
,JIFFY MARKET & LIQUOR STORE,4057 Slauson Ave,Maywood,CA,90270,33.987976,-118.19319
,Old L.A. Certified Farmers Market,N Figueroa and Ave 58,Los Angeles,CA,90042,34.109985,-118.19201
,6TH AVENUE LIQUOR STORE,3526 W Washington Blvd,Los Angeles,CA,90018,34.039841,-118.32281
,CENTURY DISCOUNT LIQUOR,4082 W Century Blvd,Inglewood,CA,90304,33.9454,-118.34674
,Walgreens,27983 Sloan Canyon Rd,Castaic,CA,91384,34.494427,-118.62656
,PARTY TIME LIQUOR,6031 Atlantic Ave,Long Beach,CA,90805,33.864281,-118.18514
,Circle A Liquor Mini Market,172 S Glendora Ave,West Covina,CA,91790,34.087269,-117.86377
,Buddy's Liquor,3231 S Central Ave,Los Angeles,CA,90011,34.014393,-118.25658
,Circle H Markets and Liquor,2511 W Sunset Blvd,Los Angeles,CA,90026,34.079735,-118.26933
,7-Eleven,18845 Sherman Way,Reseda,CA,91335,34.201199,-118.54434
,CORK-N-BOTTLE LIQUOR,1302 E Artesia Blvd,Long Beach,CA,90805,33.874512,-118.17601
,Pico Liquor,4621 Rosemead Blvd,Pico Rivera,CA,90660,34.00708,-118.08206
,FRANKS LIQUOR STORE,5742 E Beverly Blvd,Los Angeles,CA,90022,34.026627,-118.14462
,Dukes Liquor Store & Jr Market,818 S San Pedro St,Los Angeles,CA,90014,34.037998,-118.24957
,DICK'S LIQUOR MARKET,9228 S Broadway,Los Angeles,CA,90003,33.952103,-118.27815
,John's Liquor & Market,1667 N Avalon Blvd,Wilmington,CA,90744,33.797306,-118.26385
,Sans Liquor,7911 S Van Ness Ave,Inglewood,CA,90305,33.96666,-118.31777
,A&N LIQUOR,7831 S Alameda St,Los Angeles,CA,90001,33.967972,-118.23341
,BIG BOB LIQUOR STORE & MARKET,1413 W Puente Ave,West Covina,CA,91790,34.082867,-117.93522
,7 Day Liquor Mart,6100 Bellflower Blvd,Lakewood,CA,90713,33.865723,-118.12505
,"D & D Liquor, Inc",9039 Somerset Blvd,Bellflower,CA,90706,33.89658,-118.14101
