UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Sam's Club,4901 Santa Anita Ave,El Monte,CA,91731,34.093548,-118.02667
,Sam's Club,5871 Firestone Blvd,South Gate,CA,90280,33.948921,-118.16222
,Sam's Club,39940 10th St W,Palmdale,CA,93551,34.607594,-118.14761
,Sam's Club,26468 Carl Boyer Dr,Santa Clarita,CA,91350,34.414108,-118.50432
,Sam's Club,1399 W Artesia Blvd,Gardena,CA,90248,33.873089,-118.29892
,Sam's Club,12920 Foothill Blvd,Sylmar,CA,91342,34.294479,-118.41628
,Sam's Club,2601 Skypark Dr,Torrance,CA,90505,33.802826,-118.33166
,Target,19105 Golden Valley Rd,Canyon Country,CA,91387,34.39415,-118.46201
,Trader Joe's,8000 W Sunset Blvd,Los Angeles,CA,90046,34.097961,-118.36514
,Smart & Final,39212 10th St W,Palmdale,CA,93551,34.596062,-118.14759
,Target,5711 Sepulveda Blvd,Van Nuys,CA,91411,34.17453,-118.46622
,Target,14920 Raymer St,Van Nuys,CA,91405,34.213284,-118.45953
,Target,3471 W Century Blvd,Inglewood,CA,90303,33.945526,-118.3325
,Target,2626 Colorado Blvd,Los Angeles,CA,90041,34.142094,-118.22302
,Target,141 Lakewood Center Mall,Lakewood,CA,90712,33.850506,-118.14214
,Target,2120 W Main St,Alhambra,CA,91801,34.091694,-118.14635
,Target,5600 Whittier Blvd,Commerce,CA,90022,34.018883,-118.15035
,Target,5700 Firestone Blvd,South Gate,CA,90280,33.949184,-118.16548
,Target,2270 N Bellflower Blvd,Long Beach,CA,90815,33.798225,-118.12515
,Target,3433 Sepulveda Blvd,Torrance,CA,90505,33.825146,-118.34562
,Target,17751 Colima Rd,ROWLAND HEIGHTS,CA,91748,33.990318,-117.91937
,Target,6635 Fallbrook Ave,West Hills,CA,91307,34.190388,-118.62347
,Target,20200 Bloomfield Ave,Cerritos,CA,90703,33.848022,-118.06337
,Target,1050 Huntington Dr,Duarte,CA,91010,34.139484,-117.98298
,Circle K,12004 Ramona Blvd,El Monte,CA,91732,34.075264,-118.01254
,Target,777 E Colorado Blvd,Pasadena,CA,91101,34.14592,-118.13486
,Target,1601 Kingsdale Ave,Redondo Beach,CA,90278,33.868885,-118.35635
,Target,15614 Whittwood Ln,Whittier,CA,90603,33.944801,-117.9975
,Target,8999 Balboa Blvd,Northridge,CA,91325,34.23428,-118.50256
,Target,20700 S Avalon Blvd,Carson,CA,90746,33.843906,-118.26327
,Sprouts Farmers Market,735 E Birch St,Brea,CA,92821,33.917809,-117.88874
,Trader Joe's,11755 W Olympic Blvd,Los Angeles,CA,90064,34.033566,-118.4491
,Trader Joe's,26517 Bouquet Canyon Rd,Santa Clarita,CA,91350,34.428154,-118.53664
,Fresh & Easy,1340 E 7th St,Long Beach,CA,90813,33.775314,-118.17405
,Superior Grocers,2000 S Central Ave,Los Angeles,CA,90011,34.023228,-118.2516
,Target,855 E Birch St,Brea,CA,92821,33.917847,-117.8875
,Target,6000 Sepulveda Blvd,Culver City,CA,90230,33.983925,-118.39513
,Smart & Final,2511 Daly St,Los Angeles,CA,90031,34.075138,-118.21571
,Smart & Final,1855 W Glenoaks Blvd,Glendale,CA,91201,34.173683,-118.29299
,Costco,6100 Sepulveda Blvd,Van Nuys,CA,91411,34.180733,-118.46613
,Costco,5700 Lindero Canyon Rd,Westlake Village,CA,91362,34.153313,-118.79861
,Costco,2901 Los Feliz Blvd,Los Angeles,CA,90039,34.126476,-118.26289
,Costco,2640 Lomita Blvd,Torrance,CA,90505,33.807537,-118.33176
,Costco,12324 Hoxie Ave,Norwalk,CA,90650,33.919209,-118.10367
,Costco,1220 W Foothill Blvd,Azusa,CA,91702,34.133533,-117.92556
,Costco,2200 E Willow St,Signal Hill,CA,90755,33.804333,-118.16487
,Costco,2207 W Commonwealth Ave,Alhambra,CA,91803,34.087879,-118.1487
,Costco,8810 Tampa Ave,Northridge,CA,91324,34.230961,-118.55352
,Costco,18649 Via Princessa,Santa Clarita,CA,91387,34.403622,-118.4618
,Costco,1345 N Montebello Blvd,Montebello,CA,90640,34.032227,-118.09663
,Costco,13111 Peyton Dr,Chino Hills,CA,91709,34.016453,-117.74577
,Costco,2751 Skypark Dr,Torrance,CA,90505,33.804165,-118.33478
,Costco,13463 Washington Blvd,Marina del Rey,CA,90292,33.991287,-118.44622
,Costco,14501 Hindry Ave,Hawthorne,CA,90250,33.90004,-118.37223
,Costco,1051 W Burbank Blvd,Burbank,CA,91506,34.183735,-118.32352
,Costco,17550 Castleton St,City of Industry,CA,91748,33.995102,-117.92132
,Costco,1141 W Avenue L,Lancaster,CA,93534,34.660397,-118.14925
,Costco,3560 W Century Blvd,Inglewood,CA,90303,33.945442,-118.33416
,Costco,101 N Beach Blvd,La Habra,CA,90631,33.913712,-117.97163
,Costco,520 N Lone Hill Ave,San Dimas,CA,91773,34.11235,-117.82878
,Costco,340 Lakewood Center Mall,Lakewood,CA,90712,33.850395,-118.14178
,Costco,12530 Prairie Ave,Hawthorne,CA,90250,33.91861,-118.34385
,Costco,6333 Telegraph Rd,Commerce,CA,90040,33.994789,-118.14311
,Smart & Final,7224 Mason Ave,Winnetka,CA,91306,34.202129,-118.57969
,Costco,13550 Paxton St,Pacoima,CA,91331,34.272511,-118.4277
,Fresh & Easy,1615 W Verdugo Ave,Burbank,CA,91506,34.167946,-118.32305
,Trader Joe's,31176 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,33.749523,-118.40659
,Whole Foods,18700 Ventura Blvd,Tarzana,CA,91356,34.170639,-118.54077
,Northgate Gonzalez Market,2323 W Olympic Blvd,Los Angeles,CA,90006,34.052307,-118.28235
,Trader Joe's,1600 Vine St,Los Angeles,CA,90028,34.09996,-118.32664
,Sprouts Farmers Market,5660 Sepulveda Blvd,Culver City,CA,90230,33.989143,-118.39528
,Sprouts Farmers Market,39 N Rosemead Blvd,Pasadena,CA,91107,34.14719,-118.07341
,Sprouts Farmers Market,24285 Magic Mountain Pkwy,Valencia,CA,91355,34.418945,-118.55938
,Trader Joe's,28941 Canwood St,Agoura Hills,CA,91301,34.145714,-118.75507
,Vons,11030 Jefferson Blvd,Culver City,CA,90230,33.997017,-118.39532
,Fresh & Easy,13207 Gladstone Ave,Sylmar,CA,91342,34.310841,-118.42844
,Fresh & Easy,2475 Cherry Ave,Signal Hill,CA,90755,33.802101,-118.16776
,Target,809 N Azusa Ave,Azusa,CA,91702,34.135799,-117.90755
,Fresh & Easy,685 E Bonita Ave,San Dimas,CA,91773,34.106739,-117.79535
,Circle K,12358 Central Ave,Chino,CA,91710,34.028839,-117.68954
,Superior Grocers,38360 20th St E,Palmdale,CA,93550,34.579147,-118.09402
,Superior Grocers,1010 E Avenue J,Lancaster,CA,93535,34.689442,-118.11169
,Sprouts Farmers Market,1011 N San Fernando Blvd,Burbank,CA,91504,34.187496,-118.31789
,Sprouts Farmers Market,3630 Grand Ave,Chino Hills,CA,91709,34.001686,-117.72742
,Sprouts Farmers Market,820 N Western Ave,San Pedro,CA,90732,33.750385,-118.3091
,Sprouts Farmers Market,21821 Ventura Blvd,Woodland Hills,CA,91364,34.168476,-118.6025
,Sprouts Farmers Market,400 W Huntington Dr,Monrovia,CA,91016,34.140251,-118.00802
,Sprouts Farmers Market,1515 Hawthorne Blvd,Redondo Beach,CA,90278,33.867809,-118.35275
,Circle K,12806 Prairie Ave,Hawthorne,CA,90250,33.9161,-118.34385
,Sprouts Farmers Market,1012 S Westlake Blvd,Westlake Village,CA,91361,34.15303,-118.82829
,Smart & Final,4237 Woodruff Ave,Lakewood,CA,90713,33.835339,-118.11661
,Stater Bros,20677 Amar Rd,Walnut,CA,91789,34.042248,-117.85049
,Circle K,21216 Pacific Coast Hwy,Malibu,CA,90265,34.036972,-118.63702
,Superior Grocers,14433 Ramona Blvd,Baldwin Park,CA,91706,34.086826,-117.95958
,Sprouts Farmers Market,4253 Woodruff Ave,Lakewood,CA,90713,33.83551,-118.11661
,Circle K,13750 Los Angeles St,Baldwin Park,CA,91706,34.092075,-117.97421
